Age,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,YearsAtCompany,WorkLifeBalance,Attrition
35,Travel_Rarely,Research & Development,8,3,3,Male,Scientist,4,Single,5993,1,No,3,8,6,3,No
41,Travel_Rarely,Sales,12,2,2,Female,Sales Executive,2,Married,5130,3,Yes,3,10,3,2,Yes
29,Non-Travel,Research & Development,3,1,4,Male,Laboratory Technician,3,Single,2090,1,No,4,3,2,3,No
37,Travel_Rarely,Human Resources,15,3,1,Female,Human Resources,1,Married,3209,2,No,3,7,5,2,No
45,Travel_Frequently,Sales,22,4,2,Male,Manager,2,Divorced,14770,4,Yes,3,18,9,1,Yes
31,Travel_Rarely,Research & Development,6,2,3,Female,Research Scientist,4,Single,4193,1,No,3,5,3,4,No
28,Travel_Rarely,Sales,9,1,2,Male,Sales Representative,2,Single,2495,1,Yes,3,2,1,2,Yes
39,Travel_Rarely,Research & Development,11,3,4,Female,Manufacturing Director,3,Married,9998,2,No,4,12,7,3,No
33,Travel_Frequently,Sales,18,2,1,Male,Sales Executive,1,Single,4626,3,Yes,3,6,2,1,Yes
42,Travel_Rarely,Research & Development,7,4,3,Male,Healthcare Representative,4,Married,6524,1,No,4,14,10,3,No
26,Non-Travel,Research & Development,4,1,3,Female,Laboratory Technician,3,Single,1878,1,No,3,2,2,4,No
48,Travel_Frequently,Sales,25,4,2,Male,Manager,2,Married,17102,5,Yes,3,22,12,1,Yes
34,Travel_Rarely,Human Resources,10,2,2,Female,Human Resources,2,Married,3550,2,No,3,8,4,3,No
30,Travel_Rarely,Research & Development,5,2,4,Male,Research Scientist,4,Single,3945,1,No,3,4,2,4,No
44,Travel_Frequently,Sales,20,3,1,Female,Sales Executive,1,Divorced,5910,4,Yes,2,16,5,2,Yes
27,Travel_Rarely,Research & Development,2,1,3,Female,Laboratory Technician,3,Single,1985,1,No,4,3,1,3,No
38,Travel_Rarely,Sales,14,3,2,Male,Sales Representative,2,Married,4020,2,Yes,3,9,4,2,Yes
36,Travel_Rarely,Research & Development,9,3,4,Male,Scientist,4,Married,6120,1,No,4,9,6,3,No
32,Travel_Frequently,Sales,16,2,1,Female,Sales Executive,1,Single,4780,3,Yes,3,7,2,1,Yes
40,Travel_Rarely,Research & Development,13,4,3,Male,Manufacturing Director,3,Married,10500,2,No,4,15,11,3,No
25,Non-Travel,Research & Development,1,1,4,Female,Laboratory Technician,4,Single,1720,1,No,3,1,1,4,No
46,Travel_Frequently,Sales,24,4,2,Male,Manager,2,Married,15800,5,Yes,3,20,14,1,Yes
33,Travel_Rarely,Human Resources,8,2,3,Female,Human Resources,3,Single,3100,1,No,3,6,3,3,No
29,Travel_Rarely,Research & Development,4,2,4,Male,Research Scientist,4,Single,3800,1,No,3,4,2,4,No
43,Travel_Frequently,Sales,19,3,1,Male,Sales Executive,1,Divorced,6200,4,Yes,2,14,6,2,Yes
31,Travel_Rarely,Research & Development,6,2,3,Female,Scientist,3,Married,5400,1,No,3,7,5,3,No
28,Travel_Rarely,Sales,10,1,2,Male,Sales Representative,2,Single,2300,2,Yes,3,3,1,2,Yes
37,Travel_Rarely,Research & Development,12,3,4,Female,Healthcare Representative,4,Married,6800,2,No,4,11,8,3,No
35,Travel_Frequently,Sales,17,2,1,Female,Sales Executive,1,Single,4500,3,Yes,3,8,3,1,Yes
41,Travel_Rarely,Research & Development,7,4,3,Male,Manufacturing Director,3,Married,9800,2,No,4,13,9,3,No
24,Non-Travel,Research & Development,2,1,4,Female,Laboratory Technician,4,Single,1650,1,No,3,1,1,4,No
47,Travel_Frequently,Sales,23,4,2,Male,Manager,2,Married,16500,5,Yes,3,21,13,1,Yes
34,Travel_Rarely,Human Resources,9,2,3,Male,Human Resources,3,Married,3400,2,No,3,7,4,3,No
30,Travel_Rarely,Research & Development,5,2,4,Female,Research Scientist,4,Single,4100,1,No,3,5,3,4,No
42,Travel_Frequently,Sales,21,3,1,Female,Sales Executive,1,Divorced,5800,4,Yes,2,15,7,2,Yes
27,Travel_Rarely,Research & Development,3,1,3,Male,Laboratory Technician,3,Single,1900,1,No,4,2,2,3,No
39,Travel_Rarely,Sales,15,3,2,Male,Sales Representative,2,Married,4200,2,Yes,3,10,5,2,Yes
36,Travel_Rarely,Research & Development,8,3,4,Female,Scientist,4,Married,6000,1,No,4,10,7,3,No
33,Travel_Frequently,Sales,16,2,1,Male,Sales Executive,1,Single,4900,3,Yes,3,7,2,1,Yes
40,Travel_Rarely,Research & Development,11,4,3,Male,Healthcare Representative,3,Married,7200,2,No,4,12,8,3,No
26,Non-Travel,Research & Development,4,1,4,Female,Laboratory Technician,4,Single,1800,1,No,3,2,1,4,No
45,Travel_Frequently,Sales,22,4,2,Male,Manager,2,Married,15200,5,Yes,3,19,11,1,Yes
32,Travel_Rarely,Human Resources,7,2,3,Female,Human Resources,3,Single,3000,1,No,3,5,2,3,No
29,Travel_Rarely,Research & Development,6,2,4,Male,Research Scientist,4,Single,3900,1,No,3,4,2,4,No
44,Travel_Frequently,Sales,20,3,1,Female,Sales Executive,1,Divorced,6100,4,Yes,2,16,6,2,Yes
31,Travel_Rarely,Research & Development,5,2,3,Female,Scientist,3,Married,5300,1,No,3,6,4,3,No
28,Travel_Rarely,Sales,11,1,2,Male,Sales Representative,2,Single,2400,2,Yes,3,3,1,2,Yes
38,Travel_Rarely,Research & Development,10,3,4,Male,Manufacturing Director,4,Married,9500,2,No,4,11,7,3,No
35,Travel_Frequently,Sales,18,2,1,Female,Sales Executive,1,Single,4700,3,Yes,3,9,3,1,Yes
41,Travel_Rarely,Research & Development,9,4,3,Male,Healthcare Representative,3,Married,7000,2,No,4,13,9,3,No
25,Non-Travel,Research & Development,1,1,4,Female,Laboratory Technician,4,Single,1700,1,No,3,1,1,4,No
48,Travel_Frequently,Sales,24,4,2,Male,Manager,2,Married,16800,5,Yes,3,22,14,1,Yes
34,Travel_Rarely,Human Resources,8,2,3,Male,Human Resources,3,Married,3300,2,No,3,7,4,3,No
30,Travel_Rarely,Research & Development,4,2,4,Female,Research Scientist,4,Single,4000,1,No,3,5,3,4,No
43,Travel_Frequently,Sales,19,3,1,Male,Sales Executive,1,Divorced,6000,4,Yes,2,14,6,2,Yes
27,Travel_Rarely,Research & Development,2,1,3,Female,Laboratory Technician,3,Single,1950,1,No,4,2,2,3,No
39,Travel_Rarely,Sales,14,3,2,Female,Sales Representative,2,Married,4100,2,Yes,3,9,4,2,Yes
37,Travel_Rarely,Research & Development,7,3,4,Male,Scientist,4,Married,5900,1,No,4,9,6,3,No
32,Travel_Frequently,Sales,15,2,1,Male,Sales Executive,1,Single,4850,3,Yes,3,7,2,1,Yes
40,Travel_Rarely,Research & Development,12,4,3,Female,Manufacturing Director,3,Married,10200,2,No,4,14,10,3,No
